configuration,model_family,lambda_precipitation,lambda_pet,seed,test_fold,validation_fold,train_region_count,validation_region_count,test_region_count,test_sample_count,selected_ridge_alpha,best_epoch,epochs_completed,training_seconds,validation_rmse_mm,test_rmse_mm,test_mae_mm,test_r_squared,test_mean_bias_mm,core_test_rmse_mm,core_test_r_squared,test_precipitation_violation_fraction,test_pet_violation_fraction,test_precipitation_negative_gradient_mean,test_pet_positive_gradient_mean
PINN_P_lambda10,PINN_P,10.0,0.0,20260809,1,2,20,6,7,84,,13,213,0.7833828926086426,58.4566329045233,70.69872445329754,55.56778426397415,0.5491997160438435,16.22732725597563,59.928700374424,0.6408685406956673,0.13913690476190477,0.0,0.009708160534501076,0.0
PINN_P_lambda10,PINN_P,10.0,0.0,20260810,1,2,20,6,7,84,,13,213,0.8514673709869385,64.33335684011308,85.17835990157737,67.68086932954334,0.3456357395604306,58.08392224993025,71.62829199293259,0.48695799786798677,0.16592261904761904,0.0,0.002195849549025297,0.0
PINN_P_PET_lambda1,PINN_P_PET,1.0,1.0,20260806,1,2,20,6,7,84,,18,218,0.822725772857666,55.31846245813929,68.10179720062267,52.60423605782645,0.5817093370518609,31.79976508730934,56.1790407878858,0.6844033602942295,0.13541666666666666,0.0,0.004943855572491884,0.0
PINN_P_PET_lambda1,PINN_P_PET,1.0,1.0,20260807,1,2,20,6,7,84,,708,908,3.7625133991241455,41.671093315648065,29.00553504984874,22.319266546340216,0.9241207924869441,-12.51576414562407,28.919568603318698,0.9163689881111288,0.0818452380952381,0.023809523809523808,0.0032775509171187878,0.00020193566160742193
PINN_P_PET_lambda1,PINN_P_PET,1.0,1.0,20260808,1,2,20,6,7,84,,724,924,3.9167094230651855,38.473922575456726,32.0792635547196,25.58860161190941,0.9071867878132774,-11.722015017554874,30.476635888351435,0.907120945868447,0.140625,0.047619047619047616,0.005648489575833082,0.0004917294136248529
PINN_P_PET_lambda1,PINN_P_PET,1.0,1.0,20260809,1,2,20,6,7,84,,48,248,0.7856717109680176,58.59553568071733,46.56420021983451,34.07205418178013,0.8044466229672071,9.6526365734282,38.52640976899397,0.8515771351533353,0.13392857142857142,0.0,0.003707881784066558,0.0
PINN_P_PET_lambda1,PINN_P_PET,1.0,1.0,20260810,1,2,20,6,7,84,,13,213,0.7576191425323486,65.26928247542287,84.73185337546118,67.55855124337333,0.3524781373734269,57.404736836751304,71.2708738817712,0.4920652815375489,0.20684523809523808,0.0,0.002735902089625597,0.0
PINN_P_PET_lambda10,PINN_P_PET,10.0,10.0,20260806,1,2,20,6,7,84,,18,218,0.8708527088165283,55.134961797394524,67.9847441657561,52.23114631289528,0.5831460131919346,32.89047132219587,55.83804104266242,0.6882229968419431,0.13020833333333334,0.0,0.004278762266039848,0.0
PINN_P_PET_lambda10,PINN_P_PET,10.0,10.0,20260807,1,2,20,6,7,84,,760,960,3.9411497116088867,34.924438032694745,29.77860473713081,22.499332972935267,0.9200221519014814,-14.504419235956101,30.764260227256827,0.9053595746258845,0.05505952380952381,0.03571428571428571,0.0013777614803984761,0.0003093924024142325
PINN_P_PET_lambda10,PINN_P_PET,10.0,10.0,20260808,1,2,20,6,7,84,,787,987,3.9937644004821777,36.73741910726071,29.813488280327256,23.611853826613654,0.9198346652925056,-8.709240504673549,28.15837078233054,0.9207135856652865,0.09821428571428571,0.07142857142857142,0.0028009747620671988,0.0009126989752985537
